ds,hierarchy_2_code,item_id,y
2021-01-02,60,937937,15.0
2021-01-02,82,955764,6.0
2021-01-02,101,3935,0.0
2021-01-02,15,1403,241.0
2021-01-02,82,1138428,0.0
2021-01-02,101,3906,0.0
2021-01-02,54,945593,2.0
2021-01-02,82,1078620,1.0
2021-01-02,43,17269,1.0
2021-01-02,15,971991,80.0
2021-01-02,72,977410,32.0
2021-01-02,71,440500,27.0
2021-01-02,61,494937,7.0
2021-01-02,15,1394,11.105
2021-01-02,15,376635,22.0
2021-01-03,60,937937,13.0
2021-01-03,82,955764,1.0
2021-01-03,101,3935,0.0
2021-01-03,15,1403,159.0
2021-01-03,82,1138428,0.0
2021-01-03,101,3906,0.0
2021-01-03,54,945593,7.0
2021-01-03,82,1078620,1.0
2021-01-03,43,17269,1.0
2021-01-03,15,971991,81.0
2021-01-03,72,977410,10.0
2021-01-03,71,440500,29.0
2021-01-03,61,494937,5.0
2021-01-03,15,1394,13.479
2021-01-03,15,376635,15.0
2021-01-04,60,937937,20.0
2021-01-04,82,955764,4.0
2021-01-04,101,3935,0.0
2021-01-04,15,1403,142.0
2021-01-04,82,1138428,0.0
2021-01-04,101,3906,6.0
2021-01-04,54,945593,3.0
2021-01-04,82,1078620,3.0
2021-01-04,43,17269,1.0
2021-01-04,15,971991,113.0
2021-01-04,72,977410,12.0
2021-01-04,71,440500,34.0
2021-01-04,61,494937,14.0
2021-01-04,15,1394,11.378
2021-01-04,15,376635,6.0
2021-01-05,60,937937,23.0
2021-01-05,82,955764,4.0
2021-01-05,101,3935,0.0
2021-01-05,15,1403,95.0
2021-01-05,82,1138428,0.0
2021-01-05,101,3906,0.0
2021-01-05,54,945593,4.0
2021-01-05,82,1078620,1.0
2021-01-05,43,17269,2.0
2021-01-05,15,971991,101.0
2021-01-05,72,977410,7.0
2021-01-05,71,440500,20.0
2021-01-05,61,494937,11.0
2021-01-05,15,1394,11.04
2021-01-05,15,376635,4.0
2021-01-06,60,937937,18.0
2021-01-06,82,955764,0.0
2021-01-06,101,3935,0.0
2021-01-06,15,1403,183.0
2021-01-06,82,1138428,0.0
2021-01-06,101,3906,0.0
2021-01-06,54,945593,6.0
2021-01-06,82,1078620,2.0
2021-01-06,43,17269,4.0
2021-01-06,15,971991,58.0
2021-01-06,72,977410,4.0
2021-01-06,71,440500,22.0
2021-01-06,61,494937,5.0
2021-01-06,15,1394,8.398
2021-01-06,15,376635,0.0
2021-01-07,60,937937,18.0
2021-01-07,82,955764,4.0
2021-01-07,101,3935,0.0
2021-01-07,15,1403,107.0
2021-01-07,82,1138428,0.0
2021-01-07,101,3906,0.0
2021-01-07,54,945593,8.0
2021-01-07,82,1078620,2.0
2021-01-07,43,17269,0.0
2021-01-07,15,971991,65.0
2021-01-07,72,977410,25.0
2021-01-07,71,440500,35.0
2021-01-07,61,494937,4.0
2021-01-07,15,1394,2.455
2021-01-07,15,376635,4.0
2021-01-08,60,937937,31.0
2021-01-08,82,955764,0.0
2021-01-08,101,3935,0.0
2021-01-08,15,1403,82.0
2021-01-08,82,1138428,0.0
2021-01-08,101,3906,0.0
2021-01-08,54,945593,5.0
2021-01-08,82,1078620,1.0
2021-01-08,43,17269,3.0
2021-01-08,15,971991,52.0
2021-01-08,72,977410,20.0
2021-01-08,71,440500,40.0
2021-01-08,61,494937,3.0
2021-01-08,15,1394,8.378
2021-01-08,15,376635,9.0
2021-01-09,60,937937,27.0
2021-01-09,82,955764,0.0
2021-01-09,101,3935,0.0
2021-01-09,15,1403,186.0
2021-01-09,82,1138428,0.0
2021-01-09,101,3906,0.0
2021-01-09,54,945593,9.0
2021-01-09,82,1078620,3.0
2021-01-09,43,17269,3.0
2021-01-09,15,971991,44.0
2021-01-09,72,977410,2.0
2021-01-09,71,440500,58.0
2021-01-09,61,494937,1.0
2021-01-09,15,1394,11.088
2021-01-09,15,376635,10.0
2021-01-10,60,937937,5.0
2021-01-10,82,955764,4.0
2021-01-10,101,3935,0.0
2021-01-10,15,1403,39.0
2021-01-10,82,1138428,0.0
2021-01-10,101,3906,0.0
2021-01-10,54,945593,3.0
2021-01-10,82,1078620,0.0
2021-01-10,43,17269,3.0
2021-01-10,15,971991,56.0
2021-01-10,72,977410,12.0
2021-01-10,71,440500,23.0
2021-01-10,61,494937,11.0
2021-01-10,15,1394,7.44
2021-01-10,15,376635,19.0
2021-01-11,60,937937,12.0
2021-01-11,82,955764,2.0
2021-01-11,101,3935,0.0
2021-01-11,15,1403,39.0
2021-01-11,82,1138428,0.0
2021-01-11,101,3906,1.0
2021-01-11,54,945593,3.0
2021-01-11,82,1078620,3.0
2021-01-11,43,17269,1.0
2021-01-11,15,971991,56.0
2021-01-11,72,977410,15.0
2021-01-11,71,440500,16.0
2021-01-11,61,494937,9.0
2021-01-11,15,1394,5.295
2021-01-11,15,376635,7.0
2021-01-12,60,937937,16.0
2021-01-12,82,955764,0.0
2021-01-12,101,3935,0.0
2021-01-12,15,1403,88.0
2021-01-12,82,1138428,0.0
